comment,like_count,published_at,author,sentiment,emotions,anger,fear,negative,positive,trust,anticipation,joy,surprise,sadness,disgust,positive_count
"If this fight were real and not just an exhibition like Tyson's match against Roy Jones Jr., I think it would be pretty one-sided. Tyson is far too old to go up against a young fighter like Jake. Even if Tyson wins, it might be because Jake let it happen, or they agreed on it beforehand. Realistically, I believe Jake would take the victory unless Tyson somehow lands the perfect punch at the right moment to knock him out instantly. Jake is in his prime, while Tyson has been retired too long to get back his old form. Just my honest opinion. But still, I'm team Tyson~!",0,2024-10-26T01:19:27Z,@thesecond4113,Positive,"{'anger': 3, 'fear': 3, 'negative': 2, 'positive': 8, 'trust': 7, 'anticipation': 6, 'joy': 5, 'surprise': 2, 'sadness': 2, 'disgust': 1}",3.0,3.0,2.0,8.0,7.0,6.0,5.0,2.0,2.0,1.0,1
Tyson will bust his hide. People forget with hype. This man is a beast.,0,2024-10-26T01:09:55Z,@bluesslider76,Neutral,"{'fear': 2, 'negative': 3, 'anticipation': 1, 'anger': 1}",1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
We signing the contract with this one 🗣🗣🗣🗣🔥🔥🔥🔥,0,2024-10-26T00:19:29Z,@thechaosmaster9934,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Watching cm punk fight in the ufc is better than a scripted boxing match,0,2024-10-26T00:16:10Z,@tokesenari,Positive,"{'anger': 2, 'fear': 1, 'negative': 1}",2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Yall forget how much Ring IQ this guy has. AND he dropped his sparring partner multiple time. Jake is done!,0,2024-10-25T23:53:49Z,@HumbleAstronaut,Positive,"{'negative': 1, 'positive': 1, 'anticipation': 1}",0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Even if it is rigged as soon as Mike gets hit he's gonna get angry no matter what 😂,0,2024-10-25T23:53:27Z,@CuriousGamer022,Negative,"{'anger': 2, 'negative': 2, 'disgust': 1}",2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
Lol,0,2024-10-25T23:43:41Z,@BEECAPO28,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
It will be a draw.. Netflix half assed cash grab😂😂,0,2024-10-25T22:45:49Z,@Realboss526,Negative,"{'anger': 1, 'anticipation': 1, 'fear': 1, 'joy': 1, 'positive': 1, 'trust': 1}",1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
"“The fight isn’t staged”
The fight: 0:55",0,2024-10-25T22:38:12Z,@stormmist3634,Neutral,"{'anger': 2, 'fear': 2, 'negative': 2}",2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Like if u on team Mike,0,2024-10-25T22:10:47Z,@dcartel8933,Neutral,{'trust': 1},0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
